Trace2,
Freq,,Amp,,
               44200,Hz,              -68.19, dBm,
               44350,Hz,              -68.33, dBm,
               44500,Hz,              -68.53, dBm,
               44650,Hz,              -68.61, dBm,
               44800,Hz,              -68.69, dBm,
               44950,Hz,              -68.64, dBm,
               45100,Hz,              -68.60, dBm,
               45250,Hz,              -68.52, dBm,
               45400,Hz,              -68.55, dBm,
               45550,Hz,              -68.59, dBm,
               45700,Hz,              -68.70, dBm,
               45850,Hz,              -68.79, dBm,
               46000,Hz,              -68.92, dBm,
               46150,Hz,              -68.94, dBm,
               46300,Hz,              -68.95, dBm,
               46450,Hz,              -68.86, dBm,
               46600,Hz,              -68.80, dBm,
               46750,Hz,              -68.72, dBm,
               46900,Hz,              -68.75, dBm,
               47050,Hz,              -68.81, dBm,
               47200,Hz,              -68.97, dBm,
               47350,Hz,              -69.15, dBm,
               47500,Hz,              -69.39, dBm,
               47650,Hz,              -69.50, dBm,
               47800,Hz,              -69.60, dBm,
               47950,Hz,              -69.58, dBm,
               48100,Hz,              -69.57, dBm,
               48250,Hz,              -69.50, dBm,
               48400,Hz,              -69.52, dBm,
               48550,Hz,              -69.54, dBm,
               48700,Hz,              -69.64, dBm,
               48850,Hz,              -69.69, dBm,
               49000,Hz,              -69.75, dBm,
               49150,Hz,              -69.71, dBm,
               49300,Hz,              -69.69, dBm,
               49450,Hz,              -69.59, dBm,
               49600,Hz,              -69.53, dBm,
               49750,Hz,              -69.48, dBm,
               49900,Hz,              -69.57, dBm,
               50050,Hz,              -69.66, dBm,
               50200,Hz,              -69.77, dBm,
               50350,Hz,              -69.74, dBm,
               50500,Hz,              -69.72, dBm,
               50650,Hz,              -69.62, dBm,
               50800,Hz,              -69.55, dBm,
               50950,Hz,              -69.40, dBm,
               51100,Hz,              -69.30, dBm,
               51250,Hz,              -69.22, dBm,
               51400,Hz,              -69.24, dBm,
               51550,Hz,              -69.28, dBm,
               51700,Hz,              -69.47, dBm,
               51850,Hz,              -69.61, dBm,
               52000,Hz,              -69.76, dBm,
               52150,Hz,              -69.79, dBm,
               52300,Hz,              -69.86, dBm,
