Trace3,
Freq,,Amp,,
              298374,Hz,              -81.50, dBm,
              298508,Hz,              -81.49, dBm,
              298642,Hz,              -81.54, dBm,
              298776,Hz,              -81.58, dBm,
              298910,Hz,              -81.62, dBm,
              299044,Hz,              -81.67, dBm,
              299178,Hz,              -81.67, dBm,
              299312,Hz,              -81.62, dBm,
              299446,Hz,              -81.53, dBm,
              299580,Hz,              -81.45, dBm,
              299714,Hz,              -81.31, dBm,
              299848,Hz,              -81.26, dBm,
              299982,Hz,              -81.25, dBm,
              300116,Hz,              -81.29, dBm,
              300250,Hz,              -81.32, dBm,
              300384,Hz,              -81.35, dBm,
              300518,Hz,              -81.41, dBm,
              300652,Hz,              -81.47, dBm,
              300786,Hz,              -81.56, dBm,
              300920,Hz,              -81.67, dBm,
              301054,Hz,              -81.70, dBm,
              301188,Hz,              -81.67, dBm,
              301322,Hz,              -81.63, dBm,
              301456,Hz,              -81.57, dBm,
              301590,Hz,              -81.47, dBm,
              301724,Hz,              -81.42, dBm,
              301858,Hz,              -81.41, dBm,
              301992,Hz,              -81.43, dBm,
              302126,Hz,              -81.47, dBm,
              302260,Hz,              -81.47, dBm,
              302394,Hz,              -81.47, dBm,
              302528,Hz,              -81.55, dBm,
              302662,Hz,              -81.61, dBm,
              302796,Hz,              -81.68, dBm,
              302930,Hz,              -81.74, dBm,
              303064,Hz,              -81.76, dBm,
              303198,Hz,              -81.80, dBm,
              303332,Hz,              -81.89, dBm,
              303466,Hz,              -81.93, dBm,
              303600,Hz,              -81.95, dBm,
              303734,Hz,              -81.93, dBm,
              303868,Hz,              -81.79, dBm,
              304002,Hz,              -81.64, dBm,
              304136,Hz,              -81.51, dBm,
              304270,Hz,              -81.32, dBm,
              304404,Hz,              -81.22, dBm,
              304538,Hz,              -81.20, dBm,
              304672,Hz,              -81.20, dBm,
              304806,Hz,              -81.26, dBm,
              304940,Hz,              -81.32, dBm,
              305074,Hz,              -81.48, dBm,
              305208,Hz,              -81.70, dBm,
              305342,Hz,              -81.82, dBm,
              305476,Hz,              -81.90, dBm,
              305610,Hz,              -81.91, dBm,
              305744,Hz,              -81.85, dBm,
              305878,Hz,              -81.70, dBm,
              306012,Hz,              -81.53, dBm,
              306146,Hz,              -81.38, dBm,
              306280,Hz,              -81.20, dBm,
              306414,Hz,              -81.14, dBm,
              306548,Hz,              -81.16, dBm,
              306682,Hz,              -81.28, dBm,
              306816,Hz,              -81.48, dBm,
              306950,Hz,              -81.62, dBm,
              307084,Hz,              -81.76, dBm,
              307218,Hz,              -81.84, dBm,
              307352,Hz,              -81.83, dBm,
              307486,Hz,              -81.73, dBm,
              307620,Hz,              -81.65, dBm,
              307754,Hz,              -81.54, dBm,
              307888,Hz,              -81.44, dBm,
              308022,Hz,              -81.37, dBm,
              308156,Hz,              -81.29, dBm,
              308290,Hz,              -81.28, dBm,
              308424,Hz,              -81.27, dBm,
              308558,Hz,              -81.25, dBm,
              308692,Hz,              -81.28, dBm,
              308826,Hz,              -81.32, dBm,
              308960,Hz,              -81.35, dBm,
              309094,Hz,              -81.40, dBm,
              309228,Hz,              -81.43, dBm,
              309362,Hz,              -81.47, dBm,
              309496,Hz,              -81.54, dBm,
              309630,Hz,              -81.59, dBm,
              309764,Hz,              -81.67, dBm,
              309898,Hz,              -81.81, dBm,
              310032,Hz,              -81.91, dBm,
              310166,Hz,              -82.04, dBm,
              310300,Hz,              -82.16, dBm,
              310434,Hz,              -82.18, dBm,
              310568,Hz,              -82.15, dBm,
              310702,Hz,              -82.12, dBm,
              310836,Hz,              -82.06, dBm,
              310970,Hz,              -81.90, dBm,
              311104,Hz,              -81.72, dBm,
              311238,Hz,              -81.52, dBm,
              311372,Hz,              -81.38, dBm,
              311506,Hz,              -81.33, dBm,
              311640,Hz,              -81.29, dBm,
              311774,Hz,              -81.30, dBm,
              311908,Hz,              -81.29, dBm,
              312042,Hz,              -81.28, dBm,
              312176,Hz,              -81.29, dBm,
              312310,Hz,              -81.30, dBm,
              312444,Hz,              -81.28, dBm,
              312578,Hz,              -81.29, dBm,
              312712,Hz,              -81.31, dBm,
              312846,Hz,              -81.36, dBm,
              312980,Hz,              -81.45, dBm,
              313114,Hz,              -81.49, dBm,
              313248,Hz,              -81.48, dBm,
              313382,Hz,              -81.48, dBm,
              313516,Hz,              -81.48, dBm,
              313650,Hz,              -81.51, dBm,
              313784,Hz,              -81.59, dBm,
              313918,Hz,              -81.64, dBm,
              314052,Hz,              -81.71, dBm,
              314186,Hz,              -81.81, dBm,
              314320,Hz,              -81.87, dBm,
              314454,Hz,              -81.95, dBm,
              314588,Hz,              -82.03, dBm,
              314722,Hz,              -82.02, dBm,
              314856,Hz,              -81.92, dBm,
              314990,Hz,              -81.83, dBm,
              315124,Hz,              -81.72, dBm,
              315258,Hz,              -81.63, dBm,
              315392,Hz,              -81.56, dBm,
              315526,Hz,              -81.49, dBm,
              315660,Hz,              -81.47, dBm,
              315794,Hz,              -81.45, dBm,
              315928,Hz,              -81.43, dBm,
              316062,Hz,              -81.46, dBm,
              316196,Hz,              -81.51, dBm,
              316330,Hz,              -81.60, dBm,
              316464,Hz,              -81.71, dBm,
              316598,Hz,              -81.76, dBm,
              316732,Hz,              -81.82, dBm,
              316866,Hz,              -81.90, dBm,
              317000,Hz,              -81.94, dBm,
              317134,Hz,              -81.98, dBm,
              317268,Hz,              -82.02, dBm,
              317402,Hz,              -82.02, dBm,
              317536,Hz,              -81.99, dBm,
              317670,Hz,              -81.95, dBm,
              317804,Hz,              -81.90, dBm,
              317938,Hz,              -81.79, dBm,
              318072,Hz,              -81.72, dBm,
              318206,Hz,              -81.68, dBm,
              318340,Hz,              -81.65, dBm,
              318474,Hz,              -81.69, dBm,
              318608,Hz,              -81.71, dBm,
              318742,Hz,              -81.71, dBm,
              318876,Hz,              -81.72, dBm,
              319010,Hz,              -81.72, dBm,
              319144,Hz,              -81.80, dBm,
              319278,Hz,              -81.88, dBm,
              319412,Hz,              -82.03, dBm,
              319546,Hz,              -82.26, dBm,
              319680,Hz,              -82.40, dBm,
              319814,Hz,              -82.52, dBm,
              319948,Hz,              -82.53, dBm,
              320082,Hz,              -82.48, dBm,
              320216,Hz,              -82.36, dBm,
              320350,Hz,              -82.27, dBm,
              320484,Hz,              -82.23, dBm,
              320618,Hz,              -82.16, dBm,
              320752,Hz,              -82.11, dBm,
              320886,Hz,              -82.05, dBm,
              321020,Hz,              -81.91, dBm,
              321154,Hz,              -81.78, dBm,
              321288,Hz,              -81.68, dBm,
              321422,Hz,              -81.58, dBm,
              321556,Hz,              -81.60, dBm,
              321690,Hz,              -81.65, dBm,
              321824,Hz,              -81.74, dBm,
              321958,Hz,              -81.84, dBm,
              322092,Hz,              -81.88, dBm,
              322226,Hz,              -81.89, dBm,
              322360,Hz,              -81.89, dBm,
              322494,Hz,              -81.84, dBm,
              322628,Hz,              -81.74, dBm,
              322762,Hz,              -81.67, dBm,
              322896,Hz,              -81.59, dBm,
              323030,Hz,              -81.56, dBm,
              323164,Hz,              -81.56, dBm,
              323298,Hz,              -81.62, dBm,
              323432,Hz,              -81.77, dBm,
              323566,Hz,              -81.89, dBm,
              323700,Hz,              -82.05, dBm,
              323834,Hz,              -82.21, dBm,
              323968,Hz,              -82.25, dBm,
              324102,Hz,              -82.19, dBm,
              324236,Hz,              -82.12, dBm,
              324370,Hz,              -82.07, dBm,
              324504,Hz,              -82.02, dBm,
              324638,Hz,              -82.02, dBm,
