Trace2,
Freq,,Amp,,
               59950,Hz,              -71.82, dBm,
               60100,Hz,              -71.71, dBm,
               60250,Hz,              -71.48, dBm,
               60400,Hz,              -71.33, dBm,
               60550,Hz,              -71.21, dBm,
               60700,Hz,              -71.15, dBm,
               60850,Hz,              -71.04, dBm,
               61000,Hz,              -70.97, dBm,
               61150,Hz,              -70.89, dBm,
               61300,Hz,              -70.87, dBm,
               61450,Hz,              -70.81, dBm,
               61600,Hz,              -70.77, dBm,
               61750,Hz,              -70.64, dBm,
               61900,Hz,              -70.58, dBm,
               62050,Hz,              -70.56, dBm,
               62200,Hz,              -70.65, dBm,
               62350,Hz,              -70.75, dBm,
               62500,Hz,              -70.93, dBm,
               62650,Hz,              -71.09, dBm,
               62800,Hz,              -71.30, dBm,
               62950,Hz,              -71.43, dBm,
               63100,Hz,              -71.60, dBm,
               63250,Hz,              -71.79, dBm,
               63400,Hz,              -72.03, dBm,
               63550,Hz,              -72.25, dBm,
               63700,Hz,              -72.46, dBm,
               63850,Hz,              -72.62, dBm,
               64000,Hz,              -72.82, dBm,
               64150,Hz,              -72.95, dBm,
               64300,Hz,              -73.11, dBm,
               64450,Hz,              -73.23, dBm,
               64600,Hz,              -73.36, dBm,
               64750,Hz,              -73.40, dBm,
               64900,Hz,              -73.43, dBm,
               65050,Hz,              -73.37, dBm,
               65200,Hz,              -73.32, dBm,
               65350,Hz,              -73.31, dBm,
               65500,Hz,              -73.43, dBm,
               65650,Hz,              -73.60, dBm,
               65800,Hz,              -73.80, dBm,
               65950,Hz,              -73.91, dBm,
               66100,Hz,              -74.00, dBm,
               66250,Hz,              -74.00, dBm,
               66400,Hz,              -74.00, dBm,
               66550,Hz,              -73.97, dBm,
               66700,Hz,              -74.01, dBm,
               66850,Hz,              -74.08, dBm,
               67000,Hz,              -74.23, dBm,
               67150,Hz,              -74.36, dBm,
               67300,Hz,              -74.47, dBm,
               67450,Hz,              -74.46, dBm,
               67600,Hz,              -74.41, dBm,
               67750,Hz,              -74.29, dBm,
               67900,Hz,              -74.20, dBm,
               68050,Hz,              -74.12, dBm,
               68200,Hz,              -74.12, dBm,
               68350,Hz,              -74.14, dBm,
               68500,Hz,              -74.21, dBm,
               68650,Hz,              -74.18, dBm,
               68800,Hz,              -74.14, dBm,
               68950,Hz,              -74.06, dBm,
               69100,Hz,              -74.04, dBm,
