Trace2,
Freq,,Amp,,
               23437,Hz,              -65.96, dBm,
               23518,Hz,              -65.88, dBm,
               23599,Hz,              -65.80, dBm,
               23680,Hz,              -65.71, dBm,
               23761,Hz,              -65.61, dBm,
               23842,Hz,              -65.50, dBm,
               23923,Hz,              -65.38, dBm,
               24004,Hz,              -65.27, dBm,
               24085,Hz,              -65.18, dBm,
               24166,Hz,              -65.13, dBm,
               24247,Hz,              -65.12, dBm,
               24328,Hz,              -65.16, dBm,
               24409,Hz,              -65.25, dBm,
               24490,Hz,              -65.36, dBm,
               24571,Hz,              -65.51, dBm,
               24652,Hz,              -65.69, dBm,
               24733,Hz,              -65.89, dBm,
               24814,Hz,              -66.11, dBm,
               24895,Hz,              -66.35, dBm,
               24976,Hz,              -66.58, dBm,
               25057,Hz,              -66.81, dBm,
               25138,Hz,              -67.02, dBm,
               25219,Hz,              -67.21, dBm,
               25300,Hz,              -67.37, dBm,
               25381,Hz,              -67.51, dBm,
               25462,Hz,              -67.62, dBm,
               25543,Hz,              -67.67, dBm,
               25624,Hz,              -67.67, dBm,
               25705,Hz,              -67.68, dBm,
               25786,Hz,              -67.69, dBm,
               25867,Hz,              -67.72, dBm,
               25948,Hz,              -67.74, dBm,
               26029,Hz,              -67.77, dBm,
               26110,Hz,              -67.83, dBm,
               26191,Hz,              -67.88, dBm,
               26272,Hz,              -67.93, dBm,
               26353,Hz,              -67.97, dBm,
               26434,Hz,              -68.03, dBm,
               26515,Hz,              -68.11, dBm,
               26596,Hz,              -68.17, dBm,
               26677,Hz,              -68.23, dBm,
               26758,Hz,              -68.28, dBm,
               26839,Hz,              -68.33, dBm,
               26920,Hz,              -68.37, dBm,
               27001,Hz,              -68.40, dBm,
               27082,Hz,              -68.43, dBm,
               27163,Hz,              -68.45, dBm,
               27244,Hz,              -68.46, dBm,
               27325,Hz,              -68.47, dBm,
               27406,Hz,              -68.46, dBm,
               27487,Hz,              -68.46, dBm,
               27568,Hz,              -68.48, dBm,
               27649,Hz,              -68.51, dBm,
               27730,Hz,              -68.55, dBm,
               27811,Hz,              -68.58, dBm,
               27892,Hz,              -68.59, dBm,
               27973,Hz,              -68.58, dBm,
